sale_id,cst_id,prd_id,sale_date,quantity,unit_price,sale_amount,channel
1,420.0,123.0,2024-06-27,,NaN,,Store
2,369.0,62.0,2024-02-10,1.0,1190.45,1190.45,Online
3,263.0,,2024-07-29,-1.0,311.93,,Unknown
4,113.0,97.0,2024-02-29,3.0,269.85,809.55,Online
5,43.0,143.0,2025-04-10,2.0,1888.51,3777.02,Unknown
6,434.0,42.0,2024-02-20,3.0,14.47,43.41,Online
7,160.0,28.0,2024-08-20,-1.0,497.9,,Partner
8,21.0,141.0,2024-01-11,,807.3,,Store
9,,40.0,2024-08-07,1000.0,1217.36,1217360.0,Unknown
10,233.0,,2024-08-02,1.0,968.89,968.89,Partner
11,396.0,68.0,2023-10-05,1.0,269.14,269.14,Store
12,292.0,36.0,2024-02-28,,840.38,,Online
13,290.0,75.0,2024-08-22,1.0,1120.04,1120.04,Unknown
14,77.0,7.0,2024-10-26,-1.0,1334.55,,
15,360.0,88.0,2025-04-30,2.0,396.62,793.24,Unknown
16,107.0,9.0,2025-05-22,1.0,143.65,143.65,
17,224.0,10.0,2024-12-01,,526.94,,Partner
18,338.0,141.0,2024-03-13,,138.78,,
19,436.0,146.0,2024-10-11,3.0,977.53,2932.59,Unknown
20,314.0,103.0,2024-10-19,3.0,317.68,953.04,Partner
21,498.0,61.0,2023-11-24,1.0,1893.89,1893.89,Store
22,494.0,123.0,2023-09-24,,1228.49,,Online
23,133.0,97.0,2024-10-12,,NaN,,Unknown
24,338.0,55.0,2024-09-11,1.0,1526.93,1526.93,Online
25,411.0,,2024-07-11,2.0,1200.83,2401.66,Unknown
26,212.0,73.0,2025-01-31,2.0,1397.88,2795.76,Online
27,37.0,57.0,2024-04-04,1000.0,88.32,88320.0,Online
28,175.0,16.0,2023-12-11,2.0,1963.46,3926.92,Unknown
29,471.0,,2024-06-06,-1.0,1202.18,,
30,22.0,75.0,2023-11-10,1.0,938.64,938.64,Partner
31,399.0,41.0,2024-05-04,3.0,1411.11,4233.33,
32,446.0,58.0,2025-06-03,1000.0,172.75,172750.0,Store
33,199.0,126.0,2023-12-06,3.0,1206.81,3620.43,Unknown
34,84.0,72.0,2024-06-23,2.0,612.64,1225.28,Online
35,202.0,146.0,2024-08-10,3.0,548.31,1644.93,Store
36,221.0,106.0,2025-03-15,,1345.56,,Online
37,407.0,70.0,2024-08-07,-1.0,1713.15,,Online
38,447.0,100.0,2024-01-24,2.0,1522.9,3045.8,Store
39,33.0,128.0,2024-04-28,,84.5,,
40,250.0,92.0,2024-04-03,,920.35,,Partner
41,144.0,97.0,2024-07-15,1000.0,623.51,623510.0,Unknown
42,177.0,87.0,2024-09-11,2.0,781.77,1563.54,
43,414.0,84.0,2024-08-13,3.0,1152.05,3456.15,Partner
44,251.0,15.0,2024-05-25,2.0,469.86,939.72,
45,188.0,,2025-05-04,1000.0,1560.69,1560690.0,Online
46,161.0,10.0,2023-09-07,2.0,405.14,810.28,Store
47,198.0,74.0,2025-03-03,1.0,47.37,47.37,Online
48,211.0,98.0,2024-11-07,-1.0,1817.5,,Store
49,226.0,116.0,2025-02-17,3.0,1808.36,5425.08,Store
50,302.0,27.0,2023-11-22,1000.0,197.66,197660.0,Online
51,85.0,21.0,2024-11-30,-1.0,1731.15,,Store
52,411.0,133.0,2024-07-07,1000.0,NaN,,Online
53,363.0,12.0,2024-09-28,1000.0,1412.99,1412990.0,
54,62.0,27.0,2024-06-28,2.0,1767.9,3535.8,Unknown
55,,43.0,2024-04-17,-1.0,1280.06,,Online
56,71.0,130.0,2025-03-18,3.0,68.24,204.72,
57,491.0,4.0,2024-02-28,-1.0,1824.26,,Online
58,67.0,106.0,2024-07-05,-1.0,1796.2,,Partner
59,215.0,12.0,2024-08-05,-1.0,1587.02,,Store
60,274.0,30.0,2023-07-13,,910.58,,Store
61,440.0,56.0,2024-07-06,2.0,1439.22,2878.44,Store
62,420.0,125.0,2024-01-08,3.0,1154.47,3463.41,
63,444.0,76.0,2023-10-18,1000.0,643.95,643950.0,Partner
64,65.0,125.0,2024-05-20,-1.0,467.04,,Unknown
65,449.0,9.0,2024-05-30,,1527.58,,Unknown
66,253.0,98.0,2024-07-30,2.0,531.06,1062.12,Unknown
67,484.0,107.0,2023-12-21,,882.11,,Online
68,164.0,36.0,2024-10-21,2.0,1429.18,2858.36,Online
69,315.0,83.0,2025-07-07,-1.0,1826.26,,Unknown
70,399.0,73.0,2023-11-24,-1.0,773.15,,Partner
71,351.0,40.0,2023-08-13,2.0,1390.01,2780.02,Unknown
72,444.0,,2025-03-29,2.0,138.02,276.04,Store
73,68.0,67.0,2025-01-07,1000.0,1682.83,1682830.0,Online
74,155.0,39.0,2023-12-14,1000.0,239.75,239750.0,
75,401.0,140.0,UNKNOWN,3.0,1517.49,4552.47,Store
76,462.0,49.0,2023-09-16,1000.0,1696.49,1696490.0,Online
77,,63.0,2025-03-27,,1824.03,,Partner
78,101.0,61.0,2024-02-04,1000.0,1157.02,1157020.0,Online
79,253.0,77.0,2025-01-09,1000.0,132.64,132640.0,
80,439.0,58.0,2023-07-13,1.0,56.54,56.54,Partner
81,438.0,29.0,UNKNOWN,2.0,204.34,408.68,Store
82,374.0,9.0,2023-08-29,1000.0,1356.39,1356390.0,
83,147.0,98.0,2023-09-29,3.0,672.8,2018.4,Store
84,498.0,32.0,2024-04-28,1.0,933.07,933.07,
85,291.0,32.0,UNKNOWN,-1.0,1413.78,,Online
86,450.0,64.0,2024-08-23,2.0,914.19,1828.38,Unknown
87,60.0,105.0,2023-12-23,-1.0,252.34,,Unknown
88,150.0,,2024-08-03,-1.0,1133.14,,Online
89,27.0,68.0,2023-10-25,,48.49,,Online
90,105.0,24.0,2023-10-28,1000.0,873.24,873240.0,Unknown
91,313.0,146.0,2023-08-14,,514.63,,Partner
92,48.0,32.0,2024-07-08,2.0,1844.32,3688.64,Store
93,285.0,149.0,2023-11-11,1000.0,1500.72,1500720.0,Online
94,485.0,33.0,2025-07-07,-1.0,NaN,,Online
95,486.0,97.0,2024-12-09,-1.0,1469.8,,Online
96,125.0,37.0,2025-04-02,3.0,891.9,2675.7,Online
97,331.0,125.0,2024-04-04,,302.25,,
98,80.0,142.0,2023-12-27,3.0,1989.73,5969.19,Unknown
99,475.0,55.0,2024-03-22,-1.0,848.5,,Store
100,361.0,12.0,2025-02-08,3.0,85.5,256.5,Partner
101,33.0,21.0,2024-09-05,3.0,1216.5,3649.5,Online
102,203.0,51.0,2025-02-27,2.0,825.19,1650.38,Store
103,393.0,133.0,2024-03-27,1000.0,357.05,357050.0,
104,7.0,144.0,2023-09-14,,1325.14,,Store
105,209.0,80.0,2024-11-16,2.0,1585.1,3170.2,Store
106,344.0,,2023-07-10,-1.0,1848.24,,Store
107,442.0,22.0,2025-05-20,-1.0,520.95,,Unknown
108,414.0,60.0,2024-06-22,2.0,973.42,1946.84,Online
109,103.0,30.0,2024-04-20,3.0,1200.42,3601.26,Online
110,,1.0,2024-06-01,1000.0,752.79,752790.0,Store
111,71.0,116.0,2024-11-12,,1285.94,,
112,423.0,93.0,2023-07-18,1000.0,1380.86,1380860.0,Online
113,421.0,147.0,2024-09-21,3.0,818.69,2456.07,Store
114,26.0,13.0,2024-08-12,2.0,646.8,1293.6,Online
115,369.0,99.0,2024-08-22,1000.0,1466.86,1466860.0,Unknown
116,150.0,76.0,2023-10-24,2.0,1803.17,3606.34,Unknown
117,138.0,129.0,2024-08-07,-1.0,1122.78,,Online
118,419.0,55.0,2023-07-17,1.0,1335.66,1335.66,Unknown
119,494.0,51.0,2024-08-26,-1.0,1909.73,,Partner
120,105.0,91.0,2024-08-25,1000.0,138.52,138520.0,Online
121,386.0,100.0,2025-05-16,-1.0,1403.2,,Online
122,435.0,122.0,2025-02-09,,1176.0,,Partner
123,296.0,40.0,2023-10-07,1000.0,712.44,712440.0,
124,485.0,121.0,2025-05-03,,115.01,,Unknown
125,86.0,14.0,2024-06-27,,1614.14,,
126,354.0,69.0,2023-08-10,2.0,1118.7,2237.4,Online
127,208.0,,2023-12-14,2.0,805.6,1611.2,Store
128,379.0,116.0,2023-10-05,,218.1,,
129,358.0,149.0,2023-11-07,2.0,452.68,905.36,Online
130,5.0,135.0,2024-10-16,3.0,NaN,,
131,328.0,59.0,2024-09-30,2.0,1849.83,3699.66,
132,311.0,28.0,2023-07-29,2.0,1908.41,3816.82,Store
133,457.0,101.0,2024-08-05,3.0,590.57,1771.71,
134,469.0,74.0,2024-08-20,1.0,203.71,203.71,Store
135,13.0,104.0,2024-10-26,,1694.21,,Online
136,190.0,19.0,2025-05-16,1000.0,299.58,299580.0,Partner
137,144.0,,2025-04-06,2.0,6.19,12.38,Partner
138,427.0,58.0,2024-10-21,1.0,315.72,315.72,Online
139,444.0,116.0,2024-05-08,1.0,1985.8,1985.8,Unknown
140,134.0,17.0,2024-12-20,,940.08,,Unknown
141,391.0,143.0,2025-01-16,,429.92,,Online
142,465.0,126.0,2024-04-22,2.0,23.49,46.98,
143,111.0,102.0,2024-10-19,2.0,1523.35,3046.7,Store
144,423.0,10.0,2024-12-15,3.0,1394.12,4182.36,Partner
145,456.0,137.0,2024-05-17,1.0,1442.8,1442.8,Store
146,40.0,86.0,2025-03-01,1.0,1376.67,1376.67,Store
147,170.0,25.0,2025-06-26,3.0,1097.78,3293.34,Store
148,57.0,58.0,2023-08-24,1000.0,1817.35,1817350.0,Partner
149,403.0,100.0,2024-12-17,2.0,798.29,1596.58,Online
150,367.0,6.0,2024-01-21,1.0,340.06,340.06,Online
151,363.0,113.0,2024-08-19,3.0,74.12,222.36,
152,277.0,134.0,2023-11-02,,627.46,,Store
153,111.0,77.0,2024-03-10,1000.0,795.55,795550.0,
154,376.0,97.0,2025-01-10,2.0,468.11,936.22,Store
155,328.0,150.0,2024-07-27,3.0,1023.0,3069.0,Partner
156,377.0,70.0,2023-09-17,1000.0,549.05,549050.0,Online
157,131.0,133.0,2024-07-09,3.0,674.25,2022.75,Online
158,32.0,4.0,2023-07-11,2.0,569.11,1138.22,Partner
159,140.0,64.0,2024-02-10,,1977.71,,Unknown
160,179.0,28.0,2024-03-17,2.0,1962.26,3924.52,Partner
161,458.0,,2025-04-09,,412.31,,
162,39.0,117.0,2024-02-21,2.0,784.61,1569.22,Online
163,427.0,2.0,2023-07-27,-1.0,643.94,,
164,268.0,114.0,2023-12-15,-1.0,705.09,,Store
165,53.0,57.0,2024-09-11,,373.64,,Online
166,331.0,81.0,2024-11-19,2.0,478.93,957.86,Partner
167,159.0,80.0,2023-10-27,2.0,NaN,,Online
168,181.0,52.0,2023-10-05,2.0,1981.44,3962.88,Partner
